relative_path,document_number,filename,category,line,customer,file_type,parse_status,last_modified_utc,size_kb,sheet_count,is_obsolete,included_in_zip,requires_separate_upload,is_stale,platform_entity_map,mapping_confidence
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template.xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-03-04T19:19:49Z,130.0,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet (V2).xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet (V2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-05-22T20:22:56Z,22.0,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet- Ver 1.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet- Ver 1.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2025-01-31T13:33:11Z,22.6,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-04-26T19:19:32Z,21.9,1,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-11-29T11:08:00Z,21.2,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 2).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-05-22T12:22:04Z,130.2,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 3).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 3).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-06-04T20:04:01Z,122.6,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template (Ver 4).xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template (Ver 4).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2025-05-30T19:24:16Z,127.2,11,True,False,False,False,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.6 101 Schedule Template.xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-01-07T16:17:03Z,130.4,11,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.2.43 Truck Load Sheet.xls,8.2.2.2.43,8.2.2.2.43 Truck Load Sheet.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2023-02-20T15:28:30Z,66.0,3,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.3.2 Load Sheet.xlsx,8.2.2.3.2,8.2.2.3.2 Load Sheet.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-05-17T15:48:33Z,20.6,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/Old Copy of 101-103 Weekly Burn Off Tracker.pdf,,Old Copy of 101-103 Weekly Burn Off Tracker.pdf,DOCUMENT CONTROL,Line 101-103,,pdf,Readable,2023-07-18T17:22:09Z,290.1,0,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xls,8.2.2.1.4,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2020-08-24T12:42:21Z,76.5,3,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/8.2.2.1.5 Daily Paint Booth Cleaning Schedule.xls,8.2.2.1.5,8.2.2.1.5 Daily Paint Booth Cleaning Schedule.xls,DOCUMENT CONTROL,Line 101-103,,xls,Readable,2016-10-07T13:35:54Z,68.0,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Review and Update/Night Shift Cleaning.xlsx,,Night Shift Cleaning.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-06-14T18:40:21Z,17.9,3,True,False,False,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.1 102 Line Paint Production Tracking.xlsx,8.2.2.2.1,8.2.2.2.1 102 Line Paint Production Tracking.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2024-06-25T12:14:23Z,23.3,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.10 102 Maintenance Log.xlsx,8.2.2.2.10,8.2.2.2.10 102 Maintenance Log.xlsx,MAINTENANCE / PM,Line 102,,xlsx,Readable,2025-12-10T14:37:08Z,18.2,2,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.17 Approved Tag Tracking.xlsx,8.2.2.2.17,8.2.2.2.17 Approved Tag Tracking.xlsx,PACKAGING / SHIPPING,Line 102,,xlsx,Readable,2018-11-30T19:28:52Z,3297.3,2,False,False,True,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.3 102 Line Paint Schedule Template.xlsx,8.2.2.2.3,8.2.2.2.3 102 Line Paint Schedule Template.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2025-03-25T17:20:14Z,104.9,9,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,8.2.2.2.4,8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,PRODUCTION TRACKING,Line 102,,xlsx,Readable,2024-01-08T20:30:21Z,24.1,1,False,True,False,True,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.6 Line 102 Programs.xlsx,8.2.2.2.6,8.2.2.2.6 Line 102 Programs.xlsx,PROCESS CONTROL,Line 102,,xlsx,Readable,2025-10-17T14:25:35Z,13.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.7 102 Line Operating Form.xlsm,8.2.2.2.7,8.2.2.2.7 102 Line Operating Form.xlsm,PROCESS CONTROL,Line 102,,xlsm,Readable,2025-01-07T18:50:05Z,52.5,4,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,8.2.2.2.8,8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,MAINTENANCE / PM,Line 102,,xlsx,Readable,2025-12-10T14:24:21Z,16.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/8.2.2.2.9 102 TPM Checklist.xlsx,8.2.2.2.9,8.2.2.2.9 102 TPM Checklist.xlsx,PROCESS CONTROL,Line 102,,xlsx,Readable,2025-12-10T14:31:59Z,15.6,1,False,True,False,False,,
8.2.2.2 Line 102 Operating Forms/Obsolete/102 Line Loaded Parts Tracking Test File.xlsx,,102 Line Loaded Parts Tracking Test File.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2021-09-28T12:09:09Z,31.3,2,True,False,False,True,,
